Artist  genre
"The Beatles" "Rock"
"Michael Jackson" "Pop"
"Beyoncé" "R&B/Pop"
"Elvis Presley" "Rock and Roll"
"Madonna" "Pop"
"Bob Dylan" "Folk/Rock"
"Queen" "Rock"
"Taylor Swift"  "Country/Pop"
"Elton John"  "Pop/Rock"
"Rihanna" "R&B/Pop"
"Prince"  "Pop/Funk"
"Adele" "Pop/Soul"
"David Bowie" "Rock/Pop"
"Eminem"  "Hip-Hop"
"Whitney Houston" "R&B/Pop"
"The Rolling Stones"  "Rock"
"Justin Bieber" "Pop"
"Mariah Carey"  "R&B/Pop"
"Ed Sheeran"  "Pop"
"Johnny Cash" "Country"
"Coldplay"  "Alternative/Pop Rock"
"Katy Perry"  "Pop"
"Stevie Wonder" "R&B/Soul"
"Ariana Grande" "Pop/R&B"
"U2"  "Rock"
"Kendrick Lamar"  "Hip-Hop"
"Lady Gaga" "Pop/Electronic"
"Bruno Mars"  "Pop/Funk"
"Led Zeppelin"  "Rock"
"Pink Floyd"  "Progressive Rock"
"Nirvana" "Grunge/Rock"
"Drake" "Hip-Hop/R&B"
"The Weeknd"  "R&B/Pop"
"Bob Marley"  "Reggae"
"John Lennon" "Rock/Pop"
"Frank Sinatra" "Jazz/Pop"
"Jay-Z" "Hip-Hop"
"Alicia Keys" "R&B/Soul"
"The Police"  "Rock/New Wave"
"Billie Eilish" "Pop/Electronic"
"Aerosmith" "Rock"
"Sia" "Pop/Electronic"
"Shakira" "Pop/Latin"
"Fleetwood Mac" "Rock/Pop"
"Justin Timberlake" "Pop/R&B"
"The Beach Boys"  "Rock/Pop"
"Maroon 5"  "Pop/Rock"
"George Michael"  "Pop/R&B"
"Lorde" "Pop/Electronic"
"Jimi Hendrix"  "Rock/Blues"
"Oasis" "Rock"
"Aretha Franklin" "R&B/Soul"
"Lana Del Rey"  "Pop/Electronic"
"The Eagles"  "Rock/Country"
"Sam Smith" "Pop/R&B"
"The Notorious B.I.G."  "Hip-Hop"
"Bon Jovi"  "Rock"
"Ella Fitzgerald" "Jazz/Blues"
"The Weeknd"  "R&B/Pop"
"Imagine Dragons" "Rock/Pop"
"John Legend" "R&B/Soul"
"ABBA"  "Pop"
"Rihanna" "R&B/Pop"
"The Beatles" "Rock"
"Elvis Presley" "Rock and Roll"
"Adele" "Pop/Soul"
"Michael Jackson" "Pop/R&B"
"Whitney Houston" "R&B/Pop"
"Coldplay"  "Alternative/Pop Rock"
"Queen" "Rock"
"Eminem"  "Hip-Hop"
"U2"  "Rock"
"Taylor Swift"  "Country/Pop"
